URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	RAM	Kernel	OS	GCC	Dedicated instance	Deeper C-states	Turbo boost	Hyper-threading	Time
2025/2025_01_01_00_50_09_1_aws_x86_64_c7i_metal_24xl	aws_x86_64_c7i_metal_24xl	AWS x86_64 (c7i.24xl)	aws	host	c7i.metal-24xl	x86_64		48	188 GB	6.1.119-129.201.amzn2023.x86_64	Amazon Linux 2023.6.20241212	11.4.1	1	0	0	0	2025-01-01 00:50:09
Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Average	Average diff %	Median	Median diff %	Instruction count	Memory usage
Wordpress 6.2 main page	10	50	20	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.58090	0.58407	0.00062	0.58257	0.00	0.58250	0.00	0	42.95
Wordpress 6.2 main page	10	50	20	PHP - previous master	90121f4056	https://github.com/php/php-src/commit/90121f4056	0.57739	0.58027	0.00069	0.57886	-0.64	0.57881	-0.63	0	42.80
Wordpress 6.2 main page	10	50	20	PHP - master	249d2dac28	https://github.com/php/php-src/commit/249d2dac28	0.57358	0.58910	0.00211	0.57826	-0.74	0.57840	-0.70	0	42.80
Wordpress 6.2 main page	10	50	20	PHP - master (JIT)	249d2dac28	https://github.com/php/php-src/commit/249d2dac28	0.51817	0.52150	0.00089	0.51983	-10.77	0.51990	-10.75	0	61.91
bench.php	10	50	0	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.21484	0.21833	0.00085	0.21632	0.00	0.21614	0.00	0	26.12
bench.php	10	50	0	PHP - previous master	90121f4056	https://github.com/php/php-src/commit/90121f4056	0.21594	0.21930	0.00061	0.21705	0.34	0.21699	0.39	0	26.06
bench.php	10	50	0	PHP - master	249d2dac28	https://github.com/php/php-src/commit/249d2dac28	0.21461	0.21810	0.00075	0.21592	-0.18	0.21583	-0.15	0	26.06
bench.php	10	50	0	PHP - master (JIT)	249d2dac28	https://github.com/php/php-src/commit/249d2dac28	0.07335	0.07759	0.00079	0.07576	-64.98	0.07566	-64.99	0	27.23
micro_bench.php	10	50	0	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	1.34359	1.36252	0.00459	1.35382	0.00	1.35450	0.00	0	20.38
micro_bench.php	10	50	0	PHP - previous master	90121f4056	https://github.com/php/php-src/commit/90121f4056	1.25991	1.28679	0.00513	1.27035	-6.17	1.26993	-6.24	0	20.32
micro_bench.php	10	50	0	PHP - master	249d2dac28	https://github.com/php/php-src/commit/249d2dac28	1.30544	1.33268	0.00563	1.31908	-2.57	1.31800	-2.69	0	20.32
micro_bench.php	10	50	0	PHP - master (JIT)	249d2dac28	https://github.com/php/php-src/commit/249d2dac28	0.52830	0.55284	0.00549	0.54515	-59.73	0.54598	-59.69	0	21.66

